"MP_ID";"MP_UUID";"MP_USER_UID";"MP_INSURANCE_UID";"NAME";"ABSTRACT";"TYPE";"AMOUNT";"REIMBOURSEMENT";"DATE"
"1";"{77d200ca-3435-4bef-a006-442282042284}";"{00000000-0000-0000-0000-000000000000}";"2";"C";"consultation";"NGAP";"23.0";"70.0";"2011-04-10"
"2";"{8ee8eb0d-de9c-431d-97f0-93a7509f2790}";"{00000000-0000-0000-0000-000000000000}";"2";"CS";"consultation spécialisée";"NGAP";"23.0";"70.0";"2011-04-10"
"3";"{dfe793d3-cd98-4327-a3b1-4e34260cda6e}";"{00000000-0000-0000-0000-000000000000}";"2";"V";"visite";"NGAP";"23.0";"70.0";"2011-04-10"
"4";"{26ae1860-d5a6-4b94-88a7-db2b30692ecd}";"{00000000-0000-0000-0000-000000000000}";"2";"VS";"visite spécialiste";"NGAP";"23.0";"70.0";"2011-04-10"
"5";"{d2c0d46a-59ed-4296-8a14-a2d28b0a1016}";"{00000000-0000-0000-0000-000000000000}";"2";"CNPSY";"consultation psychiatre";"NGAP";"34.3";"70.0";"2011-04-10"
"6";"{5ad9a5a7-c7da-4a2e-867b-688c3e06e78c}";"{00000000-0000-0000-0000-000000000000}";"2";"CSC";"consultation cardiologue";"NGAP";"45.73";"70.0";"2011-04-10"
"7";"{2a30b7fb-268b-43fa-a3ee-6fc476bf3486}";"{00000000-0000-0000-0000-000000000000}";"2";"FPE";"Forfait pédiatre et  généralistes enfants 0 à 2 ans";"Forfaits";"5.0";"70.0";"2011-04-11"
"8";"{c210ea93-3b47-4070-9a25-687c3e99bab1}";"{00000000-0000-0000-0000-000000000000}";"2";"MN";"Majoration pédiatre enfants 0 à 2 ans";"Forfaits";"3.0";"70.0";"2011-04-11"
"9";"{8afa0f7f-2fbe-41da-a18e-a854c9de656c}";"{00000000-0000-0000-0000-000000000000}";"2";"MPJ";"Majoration pédiatre enfants plus de 2 ans";"Forfaits";"5.0";"70.0";"2011-04-11"
"10";"{b8f653ba-b838-4083-b771-838033a9e5be}";"{00000000-0000-0000-0000-000000000000}";"2";"MPJ-PSY";"Majoration psychiatre enfants plus de 2 ans";"Forfaits";"6.7";"70.0";"2011-04-11"
"11";"{e0210c9f-373b-42cf-b561-135f94c0ae2b}";"{00000000-0000-0000-0000-000000000000}";"2";"MTA";"Majoration pour le spécialiste en médecine physique et réadaptation";"Forfaits";"20.0";"70.0";"2011-04-11"
"12";"{cf04a7a2-89ce-4bb4-b214-e09e3d52f1eb}";"{00000000-0000-0000-0000-000000000000}";"2";"MCE";"majoration pour le spécialiste en endocrinologie et en médecine interne avec compétence en diabétologie moins de 16 ans";"Forfaits";"10.0";"70.0";"2011-04-12"
"13";"{d1f874b0-52d6-4534-85a8-cbdc713edb65}";"{00000000-0000-0000-0000-000000000000}";"2";"MBB";"majoration pour l'examen médical obligatoire du nourrisson dans les 8 jours suivant la naissance pour le pédiatre.";"Forfaits";"5.0";"70.0";"2011-04-12"
"14";"{44acca79-2096-4b5d-8753-14963b1bd82b}";"{00000000-0000-0000-0000-000000000000}";"2";"MAS";"majoration de consultation annuelle de synthèse pour un enfant atteint d'une ALD pour le pédiatre";"Forfaits";"10.0";"70.0";"2011-04-12"
"15";"{4cfe0812-539e-4d5a-8904-71af740ad448}";"{00000000-0000-0000-0000-000000000000}";"2";"MPF";"majoration pour la première consultation familiale pour le psychiatre et pédopsychiatre pour un enfant présentant une pathologie psychiatrique grave relevant d'une ALD";"Forfaits";"10.0";"70.0";"2011-04-12"
"16";"{39ef13fe-3649-490d-8821-6a5280253462}";"{00000000-0000-0000-0000-000000000000}";"2";"MAF";"majoration pour la consultation annuelle de synthèse familiale pour le psychiatre et pédopsychiatre pour un enfant présentant une pathologie psychiatrique grave relevant d'une ALD";"Forfaits";"10.0";"100.0";"2011-04-12"
"17";"{8ae328ab-053f-4317-ab7f-0375d2753000}";"{00000000-0000-0000-0000-000000000000}";"2";"MCG";"majoration de coordination";"Forfaits";"3.0";"70.0";"2011-04-12"
"18";"{78680cf2-f7f2-4ed2-865a-66e266edfdd5}";"{00000000-0000-0000-0000-000000000000}";"2";"RMT";"rémunération spécifique annuelle pour un patient en ALD";"Forfaits";"40.0";"100.0";"2011-04-12"
"19";"{fb5fe49b-2521-4670-9964-2bc245772809}";"{00000000-0000-0000-0000-000000000000}";"2";"MD";"majoration de déplacement pour visite à domicile justifiée";"Forfaits";"10.0";"70.0";"2011-04-12"
"20";"{55ab50d7-9f57-42db-92c8-a4a005e45c7a}";"{00000000-0000-0000-0000-000000000000}";"2";"MDN";"majoration de déplacement pour visite à domicile justifiée de nuit de 20h00 à 00h00 et de 6h00 à 8h00";"Forfaits";"38.5";"70.0";"2011-04-12"
"21";"{19d354c4-5d6d-438a-8717-38f74602a38c}";"{00000000-0000-0000-0000-000000000000}";"2";"MDI";"majoration de déplacement pour visite à domicile justifiée de nuit de 00h00 à 6h00";"Forfaits";"43.5";"70.0";"2011-04-12"
"22";"{33436ded-5b04-4703-bd4b-c833367f47ee}";"{00000000-0000-0000-0000-000000000000}";"2";"MDD";"majoration de déplacement pour visite à domicile justifiée de dimanche et jour férié";"Forfaits";"22.6";"70.0";"2011-04-12"
"23";"{6df388c7-6d0c-4269-a4db-ff400e07c65f}";"{00000000-0000-0000-0000-000000000000}";"2";"N";"indemnité forfaitaire de déplacement pour des actes effectués à domicile autre que la visite";"Forfaits";"3.5";"70.0";"2011-04-12"
"24";"{fec1fd35-6240-4985-98ae-3a8e932dd37c}";"{00000000-0000-0000-0000-000000000000}";"2";"N";"majoration de nuit pour visite à domicile non justifiée de 20h00 à 00h00 et de 6h00 à 8h00";"Forfaits";"35.0";"70.0";"2011-04-12"
"25";"{0b4d9b05-ffa7-471f-a10c-d097967a9683}";"{00000000-0000-0000-0000-000000000000}";"2";"MM";"majoration de nuit pour visite à domicile non justifiée de 00h00 à 6h00";"Forfaits";"40.0";"70.0";"2011-04-12"
"26";"{31bf9271-ed15-446b-b4c7-acee7566249d}";"{00000000-0000-0000-0000-000000000000}";"2";"F";"majoration de dimanche et jour férié pour visite à domicile non justifiée";"Forfaits";"19.06";"70.0";"2011-04-12"
"27";"{9145949e-c9a8-41af-b004-6d40975638a5}";"{00000000-0000-0000-0000-000000000000}";"2";"MNO";"majoration pour les enfants de 0 à 2 ans";"Forfaits";"5.0";"70.0";"2011-04-12"
"28";"{51bbb820-284b-4db0-a268-965ff39d3ef2}";"{00000000-0000-0000-0000-000000000000}";"2";"MGE";"majoration pour les enfants de 2 à 6 ans";"Forfaits";"3.0";"70.0";"2011-04-12"
"29";"{aba69175-8037-4e39-820c-524b8a899e9d}";"{00000000-0000-0000-0000-000000000000}";"2";"MU";"majoration d'urgence";"Forfaits";"22.6";"70.0";"2011-04-12"
"30";"{704d1385-496d-478a-b36e-96b7e948244b}";"{00000000-0000-0000-0000-000000000000}";"2";"STH";"forfait de surveillance thermal";"Forfaits";"64.03";"70.0";"2011-04-12"
"31";"{91d2a429-dd3d-44cc-8782-1115a80adb71}";"{00000000-0000-0000-0000-000000000000}";"2";"CST";"majoration du forfait de cure thermal";"Forfaits";"10.0";"70.0";"2011-04-12"
"32";"{fd3cc084-7dcd-4a41-90ad-68a6d43e0289}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQP001";"Électromyographie par électrode de surface, sans enregistrement vidéo";"CCAM";"0.00";"70.0";"2011-06-30"
"33";"{fc00b8b5-3be3-4457-b6fa-2db7cb18d19b}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQP002";"Électromyographie par électrode de surface, avec enregistrement vidéo";"CCAM";"0.00";"70.0";"2011-06-30"
"34";"{99de09dd-480e-416e-a42c-3c9dd57d0852}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQB027";"Électromyographie de 1 ou 2 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille";"CCAM";"51,84";"70.0";"2011-06-30"
"35";"{f344864e-d5d4-4693-9867-d56e711b2c2f}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQB025";"Électromyographie de 1 ou 2 muscles striés au repos et à l'effort avec stimulodétection, par électrode aiguille";"CCAM";"86,40";"70.0";"2011-06-30"
"36";"{278ef66c-7e28-41c3-9eb3-c9804c14c91b}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQB024";"Électromyographie de 3 à 6 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille";"CCAM";"59,36";"70.0";"2011-06-30"
