"CNAMTS - CCAM version 23 applicable au 25/01/2010";;;;;;;;;
"Code";"c";"Texte";"Activité";"Phase";"Tarif
(en euro)";"Rembt. ss Cdtions";"Accord Préalable";"Exo. TM";"Regroupement"
;;;;;;;;;
1;;"SYSTÈME NERVEUX CENTRAL, PÉRIPHÉRIQUE ET AUTONOME";;;;;;;
;;"À l'exclusion de : analgésie postopératoire";;;;;;;
;;"Par intrathécal, on entend : dans l'espace subarachnoïdien.";;;;;;;
;;"Par infiltration anesthésique d'un nerf, on entend : injection d'un agent pharmacologique au contact d'un nerf, par voie transcutanée.";;;;;;;
;;"Par bloc anesthésique continu d'un nerf, on entend : injection d'un agent pharmacologique au contact d'un nerf avec pose d'un cathéter, par voie transcutanée.";;;;;;;
;;;;;;;;;
;;;;;;;;;
"01.01";;"ACTES DIAGNOSTIQUES SUR LE SYSTÈME NERVEUX";;;;;;;
;;"À l'exclusion de : actes diagnostiques au niveau 
- des muscles oculomoteurs ou de la paupière (cf chapitre 02) 
- du larynx (cf chapitre 06) 
- du périnée (cf chapitre 08) 
- des muscles ptérygoïdiens (cf chapitre 11) 
- du diaphragme (cf chapitre 12)";;;;;;;
;;;;;;;;;
;;;;;;;;;
"01.01.01";;"Explorations électrophysiologiques du système nerveux";;;;;;;
;;;;;;;;;
;;;;;;;;;
"01.01.01.01";;"Électromyographie [EMG]";;;;;;;
;;"Facturation : les examens électromyographiques doivent être pratiqués avec un appareil comportant un système d'enregistrement permettant en, différé, une étude qualitative et quantitative";;;;;;;
;;;;;;;;;
"AHQP001";;"Électromyographie par électrode de surface, sans enregistrement vidéo";1;0;"Non pris en charge";;;2;"ATM"
"AHQP002";;"Électromyographie par électrode de surface, avec enregistrement vidéo";1;0;"Non pris en charge";;;2;"ATM"
"AHQB027";;"Électromyographie de 1 ou 2 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille";1;0;51,84;;;2;"ATM"
"[F, P, S, U]";;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
"AHQB025";;"Électromyographie de 1 ou 2 muscles striés au repos et à l'effort avec stimulodétection, par électrode aiguille";1;0;86,40;;;2;"ATM"
"[F, P, S, U]";;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
"AHQB024";;"Électromyographie de 3 à 6 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille";1;0;59,36;;;2;"ATM"
"[F, P, S, U]";;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
"AHQB026";;"Électromyographie de 3 à 6 muscles striés au repos et à l'effort avec stimulodétection, par électrode aiguille";1;0;86,40;;;2;"ATM"
"[F, P, S, U]";;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
"AHQB013";;"Électromyographie de 7 muscles striés ou plus au repos et à l'effort, par électrode aiguille";1;0;64,37;;;2;"ATM"
;;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
"AHQB032";;"Électromyographie de 3 à 6 muscles striés au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs sans étude de la conduction proximale par électrode de surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs";1;0;121,96;;;2;"ATM"
;;"Exploration électrophysiologique d'une atteinte du nerf médian au canal carpien";;;;;;;
;;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
"AHQB033";;"Électromyographie de 7 muscles striés ou plus au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus avec étude de la conduction proximale par électrode de surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 5 nerfs ou plus";1;0;134,49;;;2;"ATM"
;;"Exploration électrophysiologique d'une polyneuropathie";;;;;;;
;;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
"AHQB015";;"Électromyographie de fibre unique, par électrode aiguille";1;0;102,95;;;2;"ATM"
;;"Indication : trouble de la transmission neuromusculaire, suivi de la réinnervation";;;;;;;
;;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
"AHQB006";;"Macroélectromyographie, par électrode aiguille";1;0;102,95;;;2;"ATM"
;;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
"AHQB001";;"Électromyographie, au lit du malade";1;0;61,86;;;2;"ATM"
"[F, P, S, U]";;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
;;;;;;;;;
"01.01.01.02";;"Mesure des vitesses de conduction";;;;;;;
;;;;;;;;;
"AHQP003";;"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, sans étude de la conduction proximale";1;0;46,58;;;2;"ATM"
"[F, P, S, U]";;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
"AHQP008";;"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, avec étude de la conduction proximale sur au moins 2 nerfs";1;0;52,60;;;2;"ATM"
"[F, P, S, U]";;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
"AHQP010";;"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus, sans étude de la conduction proximale";1;0;53,60;;;2;"ATM"
"[F, P, S, U]";;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
"AHQP009";;"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus, avec étude de la conduction proximale sur au moins 4 nerfs";1;0;59,11;;;2;"ATM"
"[F, P, S, U]";;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
"AHQP011";;"Mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs";1;0;49,59;;;2;"ATM"
;;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
"AHQP012";;"Mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 5 nerfs ou plus";1;0;56,11;;;2;"ATM"
;;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
"AHQP013";;"Mesure des vitesses de conduction sensitive du nerf dorsal du pénis";1;0;39,07;;;2;"ATM"
;;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
;;;;;;;;;
"01.01.01.03";;"Étude des latences et des réflexes";;;;;;;
;;;;;;;;;
"ADQP014";;"Mesure du réflexe trigéminopalpébral [réflexe de clignement] et/ou du réflexe massétérin";1;0;43,58;;;2;"ATM"
;;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
"AHQB019";;"Mesure des latences des réflexes sacraux";1;0;54,10;;;2;"ATM"
;;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
"AHQD003";;"Mesure des latences distales du nerf pudendal [nerf honteux], par stimulation intrarectale";1;0;61,12;;;2;"ATM"
;;"Formation : spécifique à cet acte en plus de la formation initiale";;;;;;;
"AHRP001";;"Épreuve de stimulation répétitive d'au moins 2 nerfs pour recherche de bloc de la jonction neuromusculaire";1;0;67,13;;;2;"ATM"
