"A"	"ALIMENTARY TRACT AND METABOLISM"	"VOIES DIGESTIVES ET METABOLISME"
"A01"	"STOMATOLOGICAL PREPARATIONS"	"PREPARATIONS STOMATOLOGIQUES"
"A01A"	"STOMATOLOGICAL PREPARATIONS"	"PREPARATION STOMATOLOGIQUE"
"A01AA"	"CARIES PROPHYLACTIC AGENTS"	"MEDICAMENTS PROPHYLACTIQUES ANTICARIES"
"A01AA01"	"SODIUM FLUORIDE"	"FLUORURE DE SODIUM"
"A01AA02"	"SODIUM MONOFLUOROPHOSPHATE"	"MONOFLUOROPHOSPHATE DE SODIUM"
"A01AA03"	"OLAFLUR"	"OLAFLUR"
"A01AA04"	"STANNOUS FLUORIDE"	"FLUORURE D'ETAIN"
"A01AA30"	"COMBINATIONS"	"ASSOCIATIONS"
"A01AA51"	"SODIUM FLUORIDE, COMBINATIONS"	"FLUORURE DE SODIUM, ASSOCIATIONS"
"A01AB"	"ANTIINFECTIVES AND ANTISEPTICS FOR LOCAL ORAL TREATMENT"	"MEDICAMENTS ANTIINFECTIEUX POUR TRAITEMENT ORAL LOCAL"
"A01AB02"	"HYDROGEN PEROXIDE"	"PEROXYDE D'HYDROGENE"
"A01AB03"	"CHLORHEXIDINE"	"CHLORHEXIDINE"
"A01AB04"	"AMPHOTERICIN"	"AMPHOTERICINE B"
"A01AB05"	"POLYNOXYLIN"	"POLYNOXYLINE"
"A01AB06"	"DOMIPHEN"	"DOMIPHENE"
"A01AB07"	"OXYQUINOLINE"	"HYDROXY 8 QUINOLEINE"
"A01AB08"	"NEOMYCIN"	"NEOMYCINE"
"A01AB09"	"MICONAZOLE"	"MICONAZOLE"
"A01AB10"	"NATAMYCIN"	"NATAMYCINE"
"A01AB11"	"VARIOUS"	"DIVERS"
"A01AB12"	"HEXETIDINE"	"HEXETIDINE"
"A01AB13"	"TETRACYCLINE"	"TETRACYCLINE"
"A01AB14"	"BENZOXONIUM CHLORIDE"	"CHLORURE DE BENZOXONIUM"
"A01AB15"	"TIBEZONIUM IODIDE"	"TIBEZONIUM IODURE"
"A01AB16"	"MEPARTRICIN"	"MEPARTRICINE"
"A01AB17"	"METRONIDAZOLE"	"METRONIDAZOLE"
"A01AB18"	"CLOTRIMAZOLE"	"CLOTRIMAZOLE"
"A01AB19"	"SODIUM PERBORATE"	"SODIUM PERBORATE"
"A01AB21"	"CHLORTETRACYCLINE"	"CHLORTETRACYCLINE"
"A01AB22"	"DOXYCYCLINE"	"DOXYCYCLINE"
"A01AB23"	"MINOCYCLINE"	"MINOCYCLINE"
"A01AC"	"CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT"	"CORTICOIDES POUR TRAITEMENT ORAL LOCAL"
