// /***************************************************************************
//  *   FreeMedicalForms                                                      *
//  *   (C) 2008-2012 by Eric MAEKER, MD                                      *
//  *   eric.maeker@gmail.com                                                 *
//  *   All rights reserved.                                                  *
//  ***************************************************************************/
// /***************************************************************************
//  *   Owner :  Eric MAEKER, MD <eric.maeker@gmail.com>                      *
//  ***************************************************************************/
// /***************************************************************************
//  * - Autogenerated file for the South African drugs database               *
//  *    This file presents all known drugs and their                         *
//  *    FreeDiams autogenerated UID                                          *
//  *    !!!! The content MUST NOT be changed by hand !!!!                    *
//  ***************************************************************************/
// 
A-LENNON AMOXYCILLIN 250 mg CAPSULES;20100002
A-LENNON AMOXYCILLIN 500 mg CAPSULES;20100003
A-LENNON DIAZEPAM 10 mg/2 mL;20100004
A-LENNON DICLOFENAC 100 mg SUPPOSITORIES;20100005
A-LENNON DICLOFENAC 25 mg (tablets);20100006
A-LENNON DICLOFENAC 50 mg TABLETS;20100007
A-LENNON DICLOFENAC 75 mg INJECTION;20100008
A-LENNON FLUOXETINE (capsule);20100009
A-LENNON VITAMIN B COMPLEX INJECTION 10 mL;20100010
A-POR CREAM;20100011
A-POR VAGINAL CREAM;20100012
A.F. OINTMENT;20100013
A.P.L.® Injection 10 000 IU;20100014
A.P.L.® Injection 5 000 IU;20100015
A.T. 10  Solution;20100016
ABFLEX-4 TABLETS;20100017
ACC™ 200 effervescent tablets;20100018
ACHILLEA COMP. DROPS;20100019
ACHROMIDE OINTMENT;20100020
ACI-MED OTC;20100021
ACIBAN (TABLET);20100022
ACNE-AID Bar;20100023
ACNE-CLEAR* CLEANSING BAR;20100024
ACNECLEAR® cream.;20100025
ACNIDAZIL® cream;20100026
ACTI-FLORA POWDER;20100027
ACTOPHLEM COUGH SYRUP;20100028
ACTOSPECT COUGH LINCTUS;20100029
ACU-DICLOFENAC INJECTION;20100030
ACU-ERYLATE S Granules;20100031
ACU-OXYTET CAPSULES;20100032
ACU-PARACETAMOL S Syrup;20100033
ACU-PREDNISOLONE Tablets;20100034
ACUCIL 250 Capsules;20100035
ACUCIL 500 Capsules;20100036
ACUCIL S Suspension;20100037
ACUCIL SF Suspension;20100038
ACUCO TABLETS;20100039
ACUFLEX CAPSULES;20100040
ACUFLU P Syrup;20100041
ACUGEL SUSPENSION;20100042
ACUGEST CO LINCTUS;20100043
ACUGEST DM SYRUP;20100044
ACUGEST EXPECT SYRUP;20100045
ACUGEST SYRUP;20100046
ACULAR 0,4% (ophthalmic solution);20100047
ACULAR 0,5% Ophthalmic Solution;20103011
ACULAR 0,5% Topical Ophthalmic Solution;20103009
ACULAR Topical Ophthalmic Solution;20100048
ACULOID Syrup;20100049
ACUMET TABLETS;20100050
ACUNASO SYRUP;20100051
ACUNASO TABLETS;20100052
ACUPHLEM SYRUP;20100053
ACUPILLIN 250 Capsules;20100054
ACUPILLIN S Powder for suspension;20100055
ACUPILLIN SF Powder for suspension;20100056
ACURATE Tablets;20100057
ACUSPRAIN 250 TABLETS;20100058
ACUSPRAIN 500 TABLETS;20100059
ACUSTOP SYRUP;20100060
ACUTUSSIVE EXPECT ADULT;20100061
ADALAT® 5 mg, 10 mg;20100062
ADALAT® XL 30;20100063
ADALAT® XL 60;20100064
ADALAT®RETARD 10;20100065
ADALAT®RETARD 20;20100066
ADAPHEN 10 (TABLETS);20100067
ADAPHEN 5 (TABLETS);20100068
ADAPHEN XL (TABLETS);20100069
ADCO-ACYCLOVIR 200 mg;20100070
ADCO-ACYCLOVIR TOPICAL CREAM;20100071
ADCO-AMOCLAV 375 mg (Tablets);20100072
ADCO-AMOCLAV 625 mg (Tablets);20100073
ADCO-AMOCLAV FORTE Suspension;20100074
ADCO-AMOCLAV Suspension;20100075
ADCO-AMOXYCILLIN 125 mg/5 mL Suspension;20100076
ADCO-AMOXYCILLIN 250 mg Capsules;20100077
ADCO-AMOXYCILLIN 250 mg/5 mL Suspension;20100078
ADCO-AMOXYCILLIN 500 mg Capsules;20100079
ADCO-ATENOLOL TABLETS 100 mg;20100080
ADCO-ATENOLOL TABLETS 50 mg;20100081
ADCO-BETAMETHASONE CREAM;20100082
ADCO-CAPTOPRIL 25 mg Tablets;20100083
ADCO-CAPTOPRIL 50 mg Tablets;20100084
ADCO-CEFACLOR 250 Capsules;20100085
ADCO-CEFACLOR BD 187 Granules for Suspension;20100086
ADCO-CEFACLOR BD FORTE 375 Granules for Suspension;20100087
ADCO-CEFACLOR BD TABLETS 375 mg;20100088
ADCO-CIMETIDINE 200 mg TABLETS;20100089
ADCO-CIMETIDINE 400 mg TABLETS;20100090
ADCO-CIMETIDINE 800 mg TABLETS;20100091
ADCO-CIPRIN;20100092
ADCO-CLOTRIMAZOLE;20100093
ADCO-CLOTRIMAZOLE VAGINAL CREAM;20100094
ADCO-CO-TRIMOXAZOLE;20100095
ADCO-CYCLIZINE 50 mg;20100096
ADCO-DICLOFENAC 25 mg Tablets;20100097
ADCO-DICLOFENAC 50 mg Tablets;20100098
ADCO-DICLOFENAC 75;20100099
ADCO-DOL;20100100
ADCO-DOXAZOSIN 1 mg Tablets;20100101
ADCO-DOXAZOSIN 2 mg Tablets;20100102
ADCO-DOXAZOSIN 4 mg Tablets;20100103
