A	TRACTO ALIMENTARIO Y METABOLISMO
A01	PREPARADOS ESTOMATOLÓGICOS
A01A	PREPARADOS ESTOMATOLÓGICOS
A01AA	AGENTES PARA LA PROFILAXIS DE LAS CARIES
A01AA01	FLUORURO SÓDICO
A01AA02	MONOFLUOROFOSFATO SÓDICO
A01AA03	OLAFLUR
A01AA04	FLUORURO DE ESTAÑO
A01AA30	COMBINACIONES
A01AA51	SODIO, FLUORURO, COMBINACIONES
A01AB	ANTIINFECCIOSOS Y ANTISÉPTICOS PARA TRATAMIENTO ORAL
A01AB02	HIDRÓGENO, PERÓXIDO
A01AB03	CLORHEXIDINA
A01AB04	ANFOTERICINA B
A01AB05	POLINOXILINA
A01AB06	DOMIFEN
A01AB07	OXIQUINOLINA
A01AB08	NEOMICINA
A01AB09	MICONAZOL
A01AB10	NATAMICINA
A01AB11	VARIOS
A01AB12	HEXETIDINA
A01AB13	TETRACICLINA
A01AB14	BENZOXONIO CLORHIDRATO
A01AB15	TIBEZONIO IODATO
A01AB16	MEPARTRICINA
A01AB17	METRONIDAZOL
A01AB18	CLOTRIMAZOL
A01AB19	SODIO, PERBORATO
A01AB21	CLORTETRACICLINA
A01AB22	DOXICICLINA
A01AB23	MINOCICLINA
A01AC	CORTICOSTEROIDES PARA TRATAMIENTO ORAL LOCAL
A01AC01	TRIAMCINOLONA
A01AC02	DEXAMETASONA
A01AC03	HIDROCORTISONA
A01AC54	PREDNISOLONA, COMBINACIONES
A01AD	OTROS AGENTES PARA TRATAMIENTO ORAL LOCAL
A01AD01	EPINEFRINA
A01AD02	BENCIDAMINA
A01AD05 ACETILSALICILICO, ÁCIDO
A01AD06	ADRENALONA
A01AD07	AMLEXANOX
A01AD11	VARIOS
A02	AGENTES PARA EL TRATAMIENTO DE ALTERACIONES CAUSADAS POR ÁCIDOS
A02A	ANTIÁCIDOS
A02AA	COMPUESTOS DE MAGNESIO
A02AA01	MAGNESIO, CARBONATO
A02AA02	MAGNESIO, ÓXIDO
A02AA03	MAGNESIO, PERÓXIDO
A02AA04	MAGNESIO, HIDRÓXIDO
A02AA05	MAGNESIO, SILICATO
A02AA10	COMBINACIONES
A02AB	COMPUESTOS DE ALUMINIO
A02AB01	ALUMINIO HIDRÓXIDO
A02AB02	ALGELDRATO
A02AB03	ALUMINIO, FOSFATO
A02AB04	DIHIDROXIALUMINIO SODIO-CARBONATO
A02AB05	ALUMINIO, ACETOACETATO
A02AB06	ALOGLUTAMOL
A02AB07	ALUMINIO, GLICINATO
A02AB10	COMBINACIONES
A02AC	COMPUESTOS DE CALCIO
A02AC01	CALCIO, CARBONATO
A02AC10	COMBINATIONS
A02AD	ASOCIACIONES Y COMPLEJOS DE COMPUESTOS DE ALUMINIO
A02AD01	COMBINACIONES NORMALES DE SALES
A02AD02	MAGALDRATO
A02AD03	ALMAGATO
A02AD04	HIDROTALCITA
A02AD05	ALMASILATO
A02AF	ANTIÁCIDOS CON ANTIFLATULENTOS
A02AF01	MAGALDRATO Y CARMINATIVOS
A02AF02	COMBINACIONES NORMALES DE SALES Y CARMINATIVOS
A02AG	ANTIÁCIDOS CON ANTIESPASMÓDICOS
A02AH	ANTIÁCIDOS CON BICARBONATO DE SODIO
A02AX	ANTIÁCIDOS OTRAS ASOCIACIONES
A02B	AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO
A02BA	ANTAGONISTAS DEL RECEPTOR H2
A02BA01	CIMETIDINA
A02BA02	RANITIDINA
A02BA03	FAMOTIDINA
A02BA04	NIZATIDINA
A02BA05	NIPEROTIDINA
A02BA06	ROXATIDINA
A02BA07	RANITIDINA, BISMUTO CITRATO
A02BA08	LAFUTIDINA
A02BA51	CIMETIDINA, COMBINACIONES
A02BA53	FAMOTIDINA, COMBINACIONES
A02BB	PROSTAGLANDINAS
A02BB01	MISOPROSTOL
A02BB02	ENPROSTIL
A02BC	INHIBIDORES DE LA BOMBA DE PROTONES
A02BC01	OMEPRAZOL
A02BC02	PANTOPRAZOL
A02BC03	LANSOPRAZOL
A02BC04	RABEPRAZOL
A02BC05	ESOMEPRAZOL
A02BD	COMBINACIONES PARA LA ERRADICACIÓN DEL HELICOBACTER PYLORI
A02BD01	OMEPRAZOL, AMOXICILINA Y METRONIDAZOL
A02BD02	LANSOPRAZOL, TETRACICLINA Y METRONIDAZOL
A02BD03	LANSOPRAZOL, AMOXICILINA Y METRONIDAZOL
A02BD04	PANTOPRAZOL, AMOXICILINA Y CLARITROMICINA
A02BD05	OMEPRAZOL, AMOXICILINA Y CLARITROMICINA
A02BD06	ESOMEPRAZOL, AMOXICILINA Y CLARITROMICINA
A02BX	OTROS AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO
A02BX01	CARBENOXOLONA
A02BX02	SUCRALFATO
A02BX03	PIRENZEPINA
A02BX04	METIOSULFONIO, CLORURO
A02BX05	BISMUTO, SUBCITRATO
A02BX06	PROGLUMIDA
A02BX07	GEFARNATO
A02BX08	SULGLICOTIDA
A02BX09	ACETOXOLONA
A02BX10	ZOLIMIDINA
A02BX11	TROXIPIDA
A02BX12	BISMUTO, SUBNITRATO
A02BX13	ALGÍNICO, ÁCIDO
A02BX51	CARBENOXOLONA, COMBINACIONES EXCL PSICOLÉPTICOS
A02BX71	CARBENOXOLONA, COMBINACIONES CON PSICOLÉPTICOS
A02BX77	GEFARNATO, COMBINACIONES CON PSICOLÉPTICOS
A02X	OTROS AGENTES CONTRA ALTERACIONES CAUSADAS POR ÁCIDOS
A03	AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL ESTÓMAGO E INTESTINO
A03A	AGENTES CONTRA PADECIMIENTOS FUNCIONALES INTESTINALES
A03AA	ANTICOLINÉRGICOS SINTÉTICOS
A03AA01	OXIFENCICLAMINA
A03AA03	CAMILOFIN
A03AA04	MEBEVERINA
A03AA05	TRIMEBUTINA
A03AA06	ROCIVERINA
A03AA07	DICICLOVERINA
A03AA08	DIHEXIVERINA
A03AA09	DIFEMERINA
A03AA30	PIPERIDOLATO
A03AB	ANTICOLINÉRGICOS SINTÉTICOS
A03AB01	BENZILONA
A03AB02	GLICOPIRRONIO
A03AB03	OXIFENONIO
A03AB04	PENTIENATO
A03AB05	PROPANTELINE
A03AB06	OTILONIO, BROMURO
A03AB07	METANTELINE
A03AB08	TRIDIHEXETIL
A03AB09	ISOPROPAMIDA
A03AB10	HEXOCICLIO
A03AB11	POLDINA
A03AB12	MEPENZOLATO
A03AB13	BEVONIO
A03AB14	PIPENZOLATO
A03AB15	DIFEMANILO
A03AB16	(2-BENZIDRILOXIETIL)DIETIL-METILAMMONIO IODURO
A03AB17	TIEMONIO, IODURO
A03AB18	PRIFINIO, BROMURO
A03AB19	TIMEPIDIO, BROMURO
A03AB21	FENPIVERINIO
A03AB53	OXIFENONIO, COMBINACIONES
A03AC	ANTICOLINÉRGICOS SINTÉTICOS, AMIDAS CON AMINAS TERCIARIAS
A03AC02	DIMETILAMINOPROPIONILFENOTIAZINA
A03AC04	NICOFETAMIDA
A03AC05	TIROPRAMIDA
A03AD	PAPAVERINA Y DERIVADOS
A03AD01	PAPAVERINA
A03AD02	DROTAVERINA
A03AD30	MOXAVERINA
A03AE	AGENTES CON EFECTO EN LOS RECEPTORES DE SEROTONINA
A03AE01	ALOSETRÓN
A03AE02	TEGASEROD
A03AE03	CILANSETRÓN
A03AX	OTROS AGENTES CONTRA PADECIMIENTOS FUNCIONALES INTESTINALES
A03AX01	FENPIPRANE
A03AX02	DIISOPROMINA
A03AX03	CLORBENZOXAMINA
A03AX04	PINAVERIUM
A03AX05	FENOVERINE
A03AX06	IDANPRAMINA
A03AX07	PROXAZOL
A03AX08	ALVERINA
A03AX09	TREPIBUTONA
A03AX10	ISOMEFEPTENO
A03AX11	CAROVERINA
A03AX12	FLOROGLUCINOL
A03AX13	SILICONAS
A03AX30	TRIMETILDIFENILPROPILAMINE
A03AX58	ALVERINA, COMBINACIONES
A03B	BELLADONA Y DERIVADOS
A03BA	ALCALOIDES DE LA BELLADONA
A03BA01	ATROPINA
A03BA03	HIOSCINAMINA
A03BA04	BELLADONA, ALCALOIDES TOTALES
A03BB	ALCALOIDES SEMISINTÉTICOS DE LA BELLADONA
A03BB01	BUTILESCOPOLAMINA
A03BB02	METILATROPINA
A03BB03	METILESCOPOLAMINA
A03BB04	FENTONIO
A03BB05	CIMETROPIO, BROMURO
A03C	ANTIESPASMÓDICOS ASOCIADOS CON PSICOLÉPTICOS
A03CA	AGENTES ANTICOLINÉRGICOS SINTÉTICOS EN COMBINACIÓN CON PSICOLÉPTICOS
A03CA01	ISOPROPAMIDE Y PSICOLÉPTICOS
A03CA02	CLIDINIO Y PSICOLÉPTICOS
A03CA03	OXIFENCICLIMINA Y PSICOLÉPTICOS
A03CA04	OTILONIO, BROMURO Y PSICOLÉPTICOS
A03CA05	GLICOPIRRONIO Y PSICOLÉPTICOS
A03CA06	BEVONIO Y PSICOLÉPTICOS
A03CA07	AMBUTONIO Y PSICOLÉPTICOS
A03CA08	DIFEMANIL Y PSICOLÉPTICOS
A03CA30	EMEPRONIO Y PSICOLÉPTICOS
A03CA34	PROPANTELINE Y PSICOLÉPTICOS
A03CB	BELLADONA Y DERIVADOS ASOCIADOS CON PSICOLÉPTICOS
A03CB01	METILESCOPOLAMINA Y PSICOLÉPTICOS
A03CB02	BELLADONA, ALCALOIDES Y PSICOLÉPTICOS
A03CB03	ATROPINA Y PSICOLÉPTICOS
A03CB04	METILHOMATROPINA Y PSICOLÉPTICOS
A03CB31	HIOSCINAMINA Y PSICOLÉPTICOS
A03CC	OTROS ANTIESPASMÓDICOS EN COMBINACIÓN CON PSICOLÉPTICOS
A03D	ANTIESPASMÓDICOS ASOCIADOS CON ANALGÉSICOS
A03DA	AGENTES ANTICOLINÉRGICOS SINTÉTICOS EN COMBINACIÓN CON ANALGÉSICOS
A03DA01	TROPENZILONA Y ANALGÉSICOS
A03DA02	PITOFENONA Y ANALGÉSICOS
A03DA03	BEVONIO Y ANALGÉSICOS
A03DA04	CICLONIO Y ANALGÉSICOS
A03DA05	CAMILOFIN Y ANALGÉSICOS
A03DA06	TROSPIO Y ANALGÉSICOS
A03DA07	TIEMONIO IODURO Y ANALGÉSICOS
A03DB	BELLADONA Y DERIVADOS ASOCIADOS CON ANALGÉSICOS
A03DB04	BUTILESCOPOLAMINA Y ANALGÉSICOS
A03DC	OTROS ANTIESPASMÓDICOS EN COMBINACIÓN CON ANALGÉSICOS
A03E	ANTIESPASMÓDICOS Y ANTICOLINÉRGICOS ASOCIADOS CON OTROS FÁRMACOS
A03EA	ANTIESPASMÓDICOS, PSICOLÉPTICOS Y ANALGÉSICOS EN COMBINACIÓN
A03ED	ANTIESPASMÓDICOS ASOCIADOS CON OTROS FÁRMACOS
A03F	PROPULSIVOS
A03FA	PROPULSIVOS
A03FA01	METOCLOPRAMIDA
A03FA02	CISAPRIDA
A03FA03	DOMPERIDONA
A03FA04	BROMOPRIDA
A03FA05	ALIZAPRIDA
A03FA06	CLEBOPRIDE
A04	ANTIEMÉTICOS Y ANTINAUSEOSOS
A04A	ANTIEMÉTICOS Y ANTINAUSEOSOS
A04AA	ANTAGONISTAS DE LA SEROTONINA
A04AA01	ONDANSETRÓN
A04AA02	GRANISETRÓN
A04AA03	TROPISETRÓN
A04AA04	DOLASETRÓN
A04AA05	PALONOSETRÓN
A04AD	OTROS ANTIEMÉTICOS
A04AD01	ESCOPOLAMINA
A04AD02	CERIO, OXALATO
A04AD04	CLOROBUTANOL
A04AD05	METOPIMAZINA
A04AD10	DRONABINOL
A04AD11	NABILONE
A04AD12	APREPITAN
A04AD51	ESCOPOLAMINA, COMBINACIONES
A04AD54	CLOROBUTANOL, COMBINACIONES
A05	TERAPIA BILIAR Y HEPÁTICA
A05A	TERAPIA BILIAR
A05AA	PREPARADOS CON ÁCIDOS BILIARES
A05AA01	QUENODEOXICÓLICO, ÁCIDO
A05AA02	URSODEOXICÓLICO ÁCIDO
A05AB	PREPARADOS PARA LA TERAPIA DEL TRACTO BILIAR
A05AB01	NICOTINIL, METILAMIDA
A05AX	OTROS FÁRMACOS PARA TERAPIA BILIAR
A05AX01	PIPROZOLINA
A05AX02	HIMECROMONA
A05AX03	CICLOBUTIROL
A05B	TERAPIA HEPÁTICA
A05BA	TERAPIA HEPÁTICA
A05BA01	ARGININA, GLUTAMATO
A05BA03	SILIMARINA
A05BA04	CITIOLONE
