aast	64460
abainville	55130
abancourt	59265
abancourt	60220
abaucourt hautecourt	55400
abaucourt sur seille	54610
abbans dessous	25320
abbans dessus	25440
abbaretz	44170
abbazia	20240
abbecourt	02300
abbecourt	60430
abbenans	25340
abbeville	80100
abbeville	80132
abbeville la riviere	91150
abbeville les conflans	54800
abbeville st lucien	60480
abbevillers	25310
abeilhan	34290
abelcourt	70300
abere	64160
abergement la ronce	39500
abergement le grand	39600
abergement le petit	39800
abergement les thesy	39110
abergement st jean	39120
aberwrach	29870
abidos	64150
abilly	37160
abitain	64390
abjat sur bandiat	24300
ablain st nazaire	62153
ablaincourt pressoir	80320
ablainzevelle	62116
ablancourt	51240
ableiges	95450
ablis	78660
ablon	14600
ablon sur seine	94480
aboen	42380
aboncourt	54115
aboncourt	57920
aboncourt gesincourt	70500
aboncourt sur seille	57590
abondance	74360
abondant	28570
abos	64360
abreschviller	57560
abrest	03200
abries	05460
abscon	59215
abzac	16500
abzac	33230
accolans	25250
accolay	89460
accons	07160
accous	64490
achain	57340
achen	57410
achenheim	67204
acheres	18250
acheres	78260
acheres la foret	77760
achery	02800
acheux en amienois	80560
acheux en vimeu	80210
acheville	62320
achey	70180
achicourt	62217
achiet le grand	62121
achiet le petit	62121
achun	58110
achy	60690
acigne	35690
aclou	27800
acon	27570
acq	62144
acqueville	14220
acqueville	50440
acquigny	27400
acquin westbecourt	62380
acy	02200
acy en multien	60620
acy romance	08300
adaincourt	57580
adainville	78113
adam les passavant	25360
adam les vercel	25530
adamswiller	67320
adast	65260
ade	65100
adelange	57380
adelans	70200
adervielle pouchergues	65240
adilly	79200
adinfer	62116
adissan	34230
adompt	88270
adon	45230
adriers	86430
aeroport d'orly	94390
afa	20167
affieux	19260
affleville	54800
affoux	69170
affracourt	54740
affringues	62380
agassac	31230
agay	83700
agde	34300
agel	34210
agen	47000
agen d'aveyron	12630
agencourt	21700
agenville	80370
agenvillers	80150
ageville	52340
agey	21410
aghione	20270
agincourt	54770
agme	47350
agnac	47800
agnat	43100
agneaux	50180
agnetz	60600
agnez les duisans	62161
agnicourt et sechelles	02340
agnieres	62690
agnieres	80290
agnieres en devoluy	05250
agnin	38150
agnos	64400
agny	62217
agon coutainville	50230
agonac	24460
agones	34190
agonges	03210
agonnay	17350
agos vidalos	65400
agris	16110
agudelle	17500
aguessac	12520
aguilcourt	02190
aguts	81470
agy	14400
ahaxe alciette bascassan	64220
ahetze	64210
aheville	88500
ahuille	53940
ahun	23150
ahuy	21121
aibes	59149
aibre	25750
aicirits camou suhast	64120
aiffres	79230
aigaliers	30700
aiglemont	08090
aiglepierre	39110
aigleville	27120
aiglun	04510
aiglun	06910
aignan	32290
aignay le duc	21510
aigne	34210
aigne	72650
aignerville	14710
aignes	31550
aignes et puyperoux	16190
aigneville	80210
aigny	51150
aigonnay	79370
aigre	16140
aigrefeuille	31280
aigrefeuille d'aunis	17290
aigrefeuille sur maine	44140
aigremont	30350
aigremont	52400
aigremont	78240
aigremont	89800
aiguebelette le lac	73610
aiguebelle	73220
aigueblanche	73260
aiguefonde	81200
aigueperse	63260
aigueperse	69790
aigues juntes	09000
aigues mortes	30220
aigues vives	09600
aigues vives	11800
aigues vives	30670
aigues vives	34210
aigueze	30760
aiguilhe	43000
aiguilles	05470
aiguillon	47190
aiguines	83630
aigurande	36140
ailefroide	05340
ailhon	07200
aillant sur milleron	45230
aillant sur tholon	89110
aillas	33124
ailleux	42130
aillevans	70110
ailleville	10200
aillevillers et lyaumont	70320
aillianville	52700
aillieres beauvoir	72600
aillon le jeune	73340
aillon le vieux	73340
ailloncourt	70300
ailly	27600
ailly le haut clocher	80690
ailly sur meuse	55300
ailly sur noye	80250
ailly sur somme	80470
aimargues	30470
aime	73210
ainac	04000
ainay le chateau	03360
ainay le vieil	18200
aincille	64220
aincourt	95510
aincreville	55110
aingeray	54460
aingeville	88140
aingoulaincourt	52230
ainharp	64130
ainhice mongelos	64220
ainhoa	64250
ainvelle	70800
ainvelle	88320
airaines	80270
airan	14370
aire	08190
aire sur l'adour	40800
aire sur la lys	62120
airel	50680
airion	60600
airon notre dame	62180
airon st vaast	62180
airoux	11320
airvault	79600
aiserey	21110
aisey et richecourt	70500
aisey sur seine	21400
aisne	85450
aisonville et bernoville	02110
aissey	25360
aisy sous thil	21390
aisy sur armancon	89390
aiti	20244
aiton	73220
aix	19200
aix	59310
aix en diois	26150
aix en ergny	62650
aix en issart	62170
aix en othe	10160
aix en provence	13090
aix en provence	13100
aix en provence armees	13898
aix la fayette	63980
aix la marsalouse	19200
aix les bains	73100
aix noulette	62160
aixe sur vienne	87700
aizac	07530
aizanville	52120
aize	36150
aizecourt le bas	80240
aizecourt le haut	80200
aizecq	16700
aizelles	02820
aizenay	85190
aizier	27500
aizy jouy	02370
ajac	11300
ajaccio	20000
ajaccio	20090
ajaccio cheques	20900
ajain	23380
ajat	24210
ajiola	20240
ajoncourt	57590
ajou	27410
ajoux	07000
alaigne	11240
alaincourt	02240
alaincourt	70210
alaincourt la cote	57590
alairac	11290
alaise	25330
alan	31420
alando	20212
alata	20167
alba la romaine	07400
alban	81250
albaret le comtal	48310
albaret ste marie	48200
albas	11360
albas	46140
albe	67220
albefeuille lagarde	82290
albens	73410
albepierre bredons	15300
albert	80300
albertacce	20224
albertville	73200
albestroff	57670
albi	81000
albi	81990
albiac	31460
albiac	46500
albias	82350
albieres	11330
albies	09310
albiez le jeune	73300
albiez montrond	73300
albignac	19190
albigny sur saone	69250
albine	81240
albiosc	04550
albitreccia	20128
albon	07190
albon	26140
alboussiere	07440
albussac	19380
alby sur cheran	74540
alcay alcabehety sunharett	64470
aldudes	64430
alembon	62850
alencon	61000
alenya	66200
aleria	20270
ales	30100
alet les bains	11580
alette	62650
aleu	09320
alex	74290
alexain	53240
aleyrac	26770
alfortville	94140
algajola	20220
algans	81470
algolsheim	68600
algrange	57440
alieze	39270
alignan du vent	34290
alincourt	08310
alincthun	62142
alise ste reine	21150
alissas	07210
alistro	20230
alix	69380
alixan	26300
alizay	27460
allain	54170
allaines	80200
allaines mervilliers	28310
allainville	28500
allainville aux bois	78660
allainville en beauce	45480
allaire	56350
allamont	54800
allamps	54112
allan	26780
allanche	15160
alland huy et sausseuil	08130
allarmont	88110
allas bocage	17150
allas champagne	17500
allas les mines	24220
allassac	19240
allauch	13190
allegre	30500
allegre	43270
alleins	13980
allemagne en provence	04550
allemanche launay et soyer	51260
allemans	24600
allemans du dropt	47800
allemant	02320
allemant	51120
allemond	38114
allenay	80530
allenc	48190
allenjoie	25490
allennes les marais	59251
allenwiller	67310
allerey	21230
allerey sur saone	71350
alleriot	71380
allery	80270
alles sur dordogne	24480
alleuze	15100
